epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.98414,1.2568,3.71959,1.58446,0.4465,0.37842,0.2771,0.23335,0.69749,2.96308,1.32796,0.00014443,0.00014443,0.00014443
2,10.5959,0.79481,2.67013,1.2213,0.41291,0.71,0.47168,0.40808,0.74668,2.21429,1.21929,0.000294031,0.000294031,0.000294031
3,13.4686,0.78697,1.78331,1.20725,0.51735,0.91336,0.75374,0.64363,0.68739,1.48655,1.3246,0.000437472,0.000437472,0.000437472
4,15.8286,0.69767,1.16855,1.19519,0.70482,0.84229,0.86177,0.75657,0.64826,1.13555,1.20269,0.000574754,0.000574754,0.000574754
5,18.1143,0.66587,0.96225,1.14665,0.87195,0.91394,0.96203,0.83607,0.6097,0.81794,1.25795,0.000705876,0.000705876,0.000705876
6,20.3904,0.63396,0.79568,1.13595,0.95705,0.96637,0.98957,0.88414,0.5822,0.63549,1.17144,0.000830839,0.000830839,0.000830839
7,22.6441,0.62246,0.69254,1.17201,0.98802,0.98469,0.9915,0.86665,0.61283,0.57793,1.7694,0.000949643,0.000949643,0.000949643
8,24.8806,0.60938,0.63769,1.14927,0.99386,0.99286,0.9927,0.89246,0.57083,0.48313,1.38577,0.000957015,0.000957015,0.000957015
9,27.0628,0.60843,0.60809,1.13619,0.99212,0.99388,0.99383,0.90941,0.55018,0.46416,1.16138,0.000935018,0.000935018,0.000935018
10,29.1552,0.58508,0.57658,1.10994,0.97296,0.98591,0.9943,0.90096,0.51574,0.50031,1.20341,0.00091302,0.00091302,0.00091302
11,31.1025,0.57304,0.55426,1.1185,0.9889,0.99684,0.99407,0.92015,0.52672,0.45627,1.1739,0.000891022,0.000891022,0.000891022
12,33.403,0.58783,0.54824,1.14845,0.99267,0.99321,0.99407,0.88306,0.5809,0.45406,1.21401,0.000869024,0.000869024,0.000869024
13,35.6528,0.54527,0.50884,1.09471,0.99301,0.99274,0.99398,0.87708,0.59293,0.43608,1.16125,0.000847026,0.000847026,0.000847026
14,37.4793,0.55027,0.49965,1.1005,0.99296,0.99388,0.994,0.89514,0.54619,0.41063,1.16959,0.000825029,0.000825029,0.000825029
15,39.5403,0.52899,0.47461,1.0923,0.99415,0.9943,0.99393,0.90801,0.49934,0.38845,1.16011,0.000803031,0.000803031,0.000803031
16,41.7477,0.55449,0.47878,1.11052,0.99529,0.99579,0.99407,0.90631,0.55635,0.39784,1.28489,0.000781033,0.000781033,0.000781033
17,44.0219,0.54902,0.46097,1.11419,0.99482,0.9943,0.99397,0.89322,0.56349,0.4099,1.30016,0.000759035,0.000759035,0.000759035
18,46.157,0.54311,0.47524,1.08845,0.99364,0.99388,0.99382,0.90719,0.53773,0.40223,1.23934,0.000737037,0.000737037,0.000737037
19,48.345,0.51852,0.45848,1.09466,0.99405,0.99592,0.99383,0.91149,0.50781,0.38319,1.25798,0.00071504,0.00071504,0.00071504
20,50.822,0.52856,0.44465,1.10111,0.99255,0.9963,0.99385,0.91188,0.50598,0.38047,1.33372,0.000693042,0.000693042,0.000693042
21,53.0543,0.52759,0.42838,1.09319,0.99236,0.99592,0.99389,0.90411,0.53261,0.39062,1.55721,0.000671044,0.000671044,0.000671044
22,54.9425,0.50577,0.42223,1.06574,0.99277,0.99592,0.99377,0.91451,0.53853,0.4001,1.46325,0.000649046,0.000649046,0.000649046
23,57.0656,0.5143,0.43031,1.11148,0.99133,0.99592,0.9938,0.92979,0.46755,0.3666,1.27259,0.000627048,0.000627048,0.000627048
24,59.5949,0.50262,0.41192,1.08266,0.99116,0.99608,0.99382,0.92463,0.49952,0.3661,1.27875,0.000605051,0.000605051,0.000605051
25,61.7326,0.5089,0.40615,1.07284,0.9927,0.99605,0.99382,0.90297,0.54393,0.36532,1.29183,0.000583053,0.000583053,0.000583053
26,63.6411,0.49771,0.4068,1.09253,0.99054,0.9961,0.99381,0.93504,0.46544,0.34923,1.10887,0.000561055,0.000561055,0.000561055
27,66.0307,0.4876,0.38884,1.07298,0.98705,0.99898,0.99378,0.94182,0.46707,0.33701,1.15151,0.000539057,0.000539057,0.000539057
28,68.2086,0.49427,0.39732,1.07398,0.98854,0.99992,0.99357,0.9335,0.46808,0.35637,1.11961,0.000517059,0.000517059,0.000517059
29,70.662,0.4843,0.3891,1.07452,0.9916,0.99592,0.99375,0.93281,0.48669,0.37394,1.19674,0.000495062,0.000495062,0.000495062
30,72.8405,0.47485,0.381,1.07731,0.99194,0.99618,0.99382,0.94008,0.46881,0.35537,1.15362,0.000473064,0.000473064,0.000473064
