epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.32019,1.37286,3.80628,1.66109,0.33497,0.51174,0.22685,0.18532,0.70784,3.0456,1.36511,0.00013332,0.00013332,0.00013332
2,9.70537,0.82047,2.71592,1.22357,0.44336,0.55556,0.46958,0.41878,0.687,2.03188,1.25873,0.000272251,0.000272251,0.000272251
3,12.4405,0.75402,1.76939,1.20499,0.68098,0.86025,0.82743,0.70971,0.6999,1.50185,1.18456,0.000405462,0.000405462,0.000405462
4,15.1277,0.68628,1.15427,1.17145,0.82685,0.89259,0.91189,0.78295,0.69666,1.04661,1.1773,0.000532953,0.000532953,0.000532953
5,17.0505,0.66246,0.95118,1.17953,0.87081,0.81575,0.89829,0.80495,0.57911,0.91508,1.1874,0.000654726,0.000654726,0.000654726
6,18.9519,0.62443,0.7953,1.13215,0.97636,0.99286,0.99115,0.88567,0.59648,0.635,1.41125,0.000770778,0.000770778,0.000770778
7,21.0642,0.59931,0.68154,1.12801,0.93432,0.97952,0.99224,0.88047,0.61921,0.66413,1.46392,0.000881112,0.000881112,0.000881112
8,23.4155,0.6008,0.63018,1.12461,0.99058,0.99515,0.99405,0.87088,0.59344,0.47882,1.2228,0.000957015,0.000957015,0.000957015
9,25.8027,0.57029,0.59394,1.11411,0.99028,0.99304,0.99438,0.89482,0.55485,0.46062,1.23362,0.000935018,0.000935018,0.000935018
10,28.1574,0.55583,0.54935,1.12402,0.98714,0.99736,0.99427,0.92349,0.52962,0.47177,1.17835,0.00091302,0.00091302,0.00091302
11,30.5087,0.55512,0.52766,1.10388,0.98533,0.99796,0.99412,0.91196,0.53569,0.42087,1.203,0.000891022,0.000891022,0.000891022
12,32.9305,0.54275,0.50546,1.10274,0.99025,0.99592,0.99339,0.92144,0.4983,0.40111,1.17247,0.000869024,0.000869024,0.000869024
13,35.1239,0.53093,0.48602,1.10925,0.98753,0.99613,0.99384,0.91898,0.51197,0.42995,1.18343,0.000847026,0.000847026,0.000847026
14,37.2666,0.5397,0.47102,1.10617,0.98735,0.9976,0.99389,0.92015,0.52284,0.41013,1.15969,0.000825029,0.000825029,0.000825029
15,39.6483,0.523,0.45831,1.0831,0.99142,0.99617,0.9939,0.9196,0.51506,0.38251,1.17253,0.000803031,0.000803031,0.000803031
16,41.9647,0.51301,0.45887,1.07804,0.99277,0.99694,0.99396,0.91307,0.52116,0.40561,1.98194,0.000781033,0.000781033,0.000781033
17,44.264,0.53571,0.45269,1.11864,0.99364,0.99694,0.99414,0.91218,0.51439,0.40399,1.34898,0.000759035,0.000759035,0.000759035
18,46.6464,0.51764,0.43359,1.0868,0.99254,0.99529,0.99408,0.93182,0.50358,0.39498,1.15876,0.000737037,0.000737037,0.000737037
19,49.0478,0.51951,0.43109,1.09657,0.98983,0.99619,0.99364,0.91538,0.51247,0.39808,1.13053,0.00071504,0.00071504,0.00071504
20,51.2104,0.50969,0.42676,1.06388,0.9913,0.99696,0.99365,0.92227,0.49231,0.3604,1.64541,0.000693042,0.000693042,0.000693042
21,53.6228,0.49196,0.40786,1.09116,0.99216,0.99694,0.99379,0.9288,0.49198,0.37652,1.50465,0.000671044,0.000671044,0.000671044
22,56.0106,0.48689,0.39944,1.06689,0.99143,0.99715,0.99384,0.92711,0.47889,0.38244,1.34885,0.000649046,0.000649046,0.000649046
23,58.052,0.46915,0.39485,1.06746,0.99315,0.99694,0.99387,0.94174,0.44363,0.34238,1.20208,0.000627048,0.000627048,0.000627048
24,60.5506,0.47906,0.38741,1.07601,0.99228,0.99694,0.99402,0.93605,0.49057,0.34772,1.13578,0.000605051,0.000605051,0.000605051
25,62.8495,0.49702,0.4037,1.08333,0.99317,0.99694,0.9939,0.93616,0.45441,0.36244,1.25758,0.000583053,0.000583053,0.000583053
26,64.8342,0.47903,0.39045,1.06304,0.99097,0.99694,0.99374,0.93888,0.43388,0.35855,1.28023,0.000561055,0.000561055,0.000561055
27,66.9682,0.47297,0.37977,1.08737,0.99323,0.99592,0.99378,0.94325,0.43261,0.36137,1.22716,0.000539057,0.000539057,0.000539057
28,69.6643,0.46641,0.3805,1.0793,0.98958,0.99951,0.99381,0.94607,0.41596,0.35477,1.26769,0.000517059,0.000517059,0.000517059
29,71.8666,0.47192,0.37831,1.09757,0.98968,0.99947,0.99361,0.94777,0.45214,0.35201,1.15622,0.000495062,0.000495062,0.000495062
30,73.7519,0.4754,0.37649,1.09032,0.99025,0.99941,0.99373,0.94877,0.45776,0.34286,1.12403,0.000473064,0.000473064,0.000473064
31,76.0957,0.45927,0.37492,1.09026,0.99014,0.99946,0.99376,0.95431,0.39247,0.33202,1.1321,0.000451066,0.000451066,0.000451066
32,78.22,0.44798,0.36526,1.07649,0.98983,1,0.99359,0.95268,0.40833,0.33093,1.14936,0.000429068,0.000429068,0.000429068
33,80.3994,0.44734,0.36548,1.07342,0.99035,1,0.99362,0.9535,0.43248,0.32914,1.13611,0.00040707,0.00040707,0.00040707
34,82.7567,0.45527,0.36239,1.07727,0.99027,1,0.99377,0.95541,0.40058,0.30852,1.11445,0.000385073,0.000385073,0.000385073
35,85.219,0.44205,0.35303,1.07763,0.98978,0.99983,0.99391,0.95078,0.41239,0.32024,1.15673,0.000363075,0.000363075,0.000363075
36,87.2959,0.4405,0.35345,1.05347,0.98985,0.99946,0.99398,0.95103,0.40088,0.3287,1.43416,0.000341077,0.000341077,0.000341077
37,89.5123,0.44104,0.35096,1.08383,0.99049,0.99946,0.99386,0.95204,0.40662,0.32939,1.34705,0.000319079,0.000319079,0.000319079
38,91.594,0.44988,0.35931,1.05544,0.99244,1,0.99367,0.95328,0.43272,0.32658,1.11345,0.000297081,0.000297081,0.000297081
39,93.5513,0.44313,0.35365,1.05818,0.99057,1,0.99349,0.95266,0.43727,0.33187,1.09841,0.000275084,0.000275084,0.000275084
40,95.4074,0.4389,0.34797,1.0576,0.98987,1,0.99348,0.95562,0.39836,0.31534,1.1224,0.000253086,0.000253086,0.000253086
41,98.3425,0.41556,0.31771,1.03348,0.99189,0.99859,0.99363,0.95352,0.42247,0.33155,1.16657,0.000231088,0.000231088,0.000231088
42,100.118,0.41839,0.32329,1.01801,0.99215,0.99855,0.99347,0.95556,0.39944,0.32534,1.13982,0.00020909,0.00020909,0.00020909
43,102.393,0.40937,0.31466,1.02942,0.99128,0.99869,0.99321,0.9517,0.43258,0.31912,1.10697,0.000187092,0.000187092,0.000187092
44,104.77,0.40776,0.30847,1.01743,0.99174,0.99889,0.99314,0.95322,0.42562,0.31778,1.10623,0.000165095,0.000165095,0.000165095
45,106.844,0.40165,0.3063,1.01733,0.99242,0.99898,0.99311,0.95481,0.4085,0.31372,1.113,0.000143097,0.000143097,0.000143097
46,109.227,0.40287,0.30317,1.0083,0.99203,0.99894,0.9931,0.9555,0.39966,0.30725,1.14244,0.000121099,0.000121099,0.000121099
47,111.395,0.39707,0.30294,1.01327,0.99186,0.99868,0.99318,0.95648,0.38696,0.31124,1.17779,9.91012e-05,9.91012e-05,9.91012e-05
48,113.132,0.39672,0.30307,1.01555,0.99197,0.99867,0.99327,0.9573,0.39056,0.30971,1.15757,7.71034e-05,7.71034e-05,7.71034e-05
49,114.914,0.39675,0.30138,1.01574,0.99167,0.99867,0.9933,0.95769,0.39532,0.30815,1.13615,5.51056e-05,5.51056e-05,5.51056e-05
50,116.911,0.38929,0.29813,1.01955,0.9917,0.99872,0.9933,0.95791,0.39446,0.30939,1.13287,3.31078e-05,3.31078e-05,3.31078e-05
